text,category,type,location,time,status
"Garbage dumped at Yeshwanthpur, smells bad.",Garbage,Non-Emergency,Indiranagar,2025-08-25 00:14:25,Resolved
Huge fire reported at HSR Layout.,Fire,Emergency,Indiranagar,2025-08-01 16:51:25,Acknowledged
"Smoke rising near Electronic City, seems like a fire incident.",Fire,Emergency,Indiranagar,2025-08-22 09:53:25,Resolved
Heart attack case reported at Electronic City.,Medical,Emergency,Brigade Road,2025-07-31 15:29:25,Acknowledged
Overflowing trash bin near Yeshwanthpur.,Garbage,Non-Emergency,Whitefield,2025-08-20 02:14:25,Resolved
Heart attack case reported at Hebbal.,Medical,Emergency,Whitefield,2025-08-18 16:29:25,Acknowledged
Robbery reported at Hebbal.,Crime,Emergency,Indiranagar,2025-08-08 09:55:25,Acknowledged
Waste blocking road at Indiranagar.,Garbage,Non-Emergency,Electronic City,2025-08-19 23:41:25,New
"Injury reported at BTM Layout, need hospital support.",Medical,Emergency,Hebbal,2025-08-25 02:54:25,New
Plastic waste causing pollution at Koramangala.,Pollution,Non-Emergency,Whitefield,2025-08-01 05:19:25,New
Industrial smoke polluting air at HSR Layout.,Pollution,Non-Emergency,Whitefield,2025-08-08 22:09:25,Acknowledged
Traffic congestion reported at Whitefield.,Traffic,Non-Emergency,Whitefield,2025-08-22 02:10:25,Resolved
Building caught fire at Brigade Road.,Fire,Emergency,Yeshwanthpur,2025-08-08 02:12:25,Resolved
Accident causing traffic delays on Electronic City.,Traffic,Non-Emergency,Electronic City,2025-08-08 14:56:25,Resolved
Air pollution level rising around Brigade Road.,Pollution,Non-Emergency,BTM Layout,2025-08-28 11:33:25,Acknowledged
"Smoke rising near Koramangala, seems like a fire incident.",Fire,Emergency,HSR Layout,2025-08-04 05:31:25,New
"Huge pothole on BTM Layout, risky for bikers.",Potholes,Non-Emergency,Koramangala,2025-08-04 12:38:25,Resolved
Industrial smoke polluting air at Yeshwanthpur.,Pollution,Non-Emergency,Brigade Road,2025-08-25 15:44:25,Acknowledged
Plastic waste causing pollution at HSR Layout.,Pollution,Non-Emergency,HSR Layout,2025-08-10 17:56:25,Resolved
"Person fainted at Indiranagar, need medical help.",Medical,Emergency,Yeshwanthpur,2025-08-16 20:51:25,Resolved
"Person fainted at Yeshwanthpur, need medical help.",Medical,Emergency,Yeshwanthpur,2025-07-31 15:23:25,New
"Road accident reported near Brigade Road, need ambulance.",Accident,Emergency,Indiranagar,2025-08-07 19:13:25,Acknowledged
Industrial smoke polluting air at MG Road.,Pollution,Non-Emergency,HSR Layout,2025-08-18 02:00:25,New
"Garbage dumped at Electronic City, smells bad.",Garbage,Non-Emergency,Whitefield,2025-08-01 21:33:25,Acknowledged
Garbage not collected from Whitefield for 3 days.,Garbage,Non-Emergency,MG Road,2025-08-11 04:49:25,New
"Fight broke out at Brigade Road, police required.",Crime,Emergency,Hebbal,2025-08-17 16:41:25,New
Traffic congestion reported at Electronic City.,Traffic,Non-Emergency,Electronic City,2025-08-17 14:26:25,Resolved
